,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hobart,20,AU,1593576079,62,-42.88,147.33,57.2,11.41
1,Kavieng,26,PG,1593576097,75,-2.57,150.8,83.73,10.4
2,Tsimmerbude,25,RU,1593576098,72,54.67,20.13,62.6,8.95
3,Naze,75,JP,1593576099,100,28.37,129.48,77.0,17.22
4,Paamiut,100,GL,1593575945,95,61.99,-49.67,39.16,2.73
5,Morros,0,BR,1593576102,50,-9.45,-46.3,69.91,2.26
6,Viedma,49,AR,1593576103,90,-40.81,-63.0,40.98,1.68
7,Ahipara,19,NZ,1593576104,76,-35.17,173.17,55.62,14.92
8,Busselton,74,AU,1593576105,86,-33.65,115.33,55.99,4.0
9,Jamestown,1,US,1593576106,82,42.1,-79.24,64.4,2.64
10,Avera,40,US,1593576107,65,33.19,-82.53,80.6,5.82
11,Ushuaia,0,AR,1593575899,86,-54.8,-68.3,26.6,4.7
12,Vaini,75,TO,1593576110,73,-21.2,-175.2,75.2,10.29
13,Alofi,75,NU,1593576111,78,-19.06,-169.92,82.4,9.17
14,Saint-Philippe,0,RE,1593576112,48,-21.36,55.77,66.2,9.17
15,Kapaa,20,US,1593576113,66,22.08,-159.32,84.2,10.29
16,Khatanga,53,RU,1593576114,34,71.97,102.5,77.23,4.27
17,Cockburn Town,4,TC,1593576115,77,21.46,-71.14,82.63,15.28
18,Duluth,1,US,1593576016,87,46.78,-92.11,69.8,4.7
19,Russell,20,US,1593576015,94,32.35,-85.2,75.2,2.21
20,Havre-St-Pierre,1,CA,1593576119,93,50.23,-63.6,59.0,4.7
21,Hasaki,75,JP,1593576120,83,35.73,140.83,78.8,19.46
22,Albany,99,US,1593576120,92,42.6,-73.97,64.99,1.92
23,Poyarkovo,0,RU,1593576122,62,49.6,128.68,81.48,7.45
24,Iralaya,94,HN,1593576123,86,15.0,-83.23,79.95,6.67
25,Atuona,2,PF,1593576124,74,-9.8,-139.03,79.52,21.83
26,Punta Arenas,2,CL,1593575852,92,-53.15,-70.92,23.0,2.24
27,Porto Santo,40,PT,1593576127,88,33.07,-16.34,68.0,10.29
28,Saint George,1,US,1593576008,10,37.1,-113.58,84.2,6.93
29,Rikitea,24,PF,1593576096,66,-23.12,-134.97,69.22,21.34
30,Laguna,1,US,1593576130,28,38.42,-121.42,84.2,6.93
31,Kroya,44,ID,1593576131,68,-7.63,109.25,84.04,10.94
32,Birjand,0,IR,1593576133,12,32.87,59.22,77.0,16.11
33,Akdepe,0,TM,1593576134,34,42.06,59.38,84.2,4.7
34,Sherlovaya Gora,100,RU,1593576135,56,50.57,116.25,71.2,3.74
35,Homer,1,US,1593576136,67,59.64,-151.55,60.01,17.22
36,Along,84,IN,1593576137,64,28.17,94.77,86.7,2.21
37,Arraial do Cabo,99,BR,1593576138,83,-22.97,-42.03,70.63,21.97
38,Mizdah,0,LY,1593576139,49,31.45,12.98,66.79,0.34
39,Zyryanka,44,RU,1593576140,30,65.75,150.85,66.06,9.62
40,Dakar,40,SN,1593576142,88,14.69,-17.44,78.8,7.72
41,Saint Paul Harbor,1,US,1593576025,62,57.79,-152.41,59.0,4.7
42,Vardø,75,NO,1593576144,93,70.37,31.11,48.2,14.99
43,Seoul,90,KR,1593576114,78,37.57,126.98,73.4,5.82
44,Rassvet,1,RU,1593576146,67,46.83,40.75,73.63,2.48
45,Saldanha,0,ZA,1593576147,87,-33.01,17.94,48.2,5.82
46,Martaban,100,MM,1593576148,84,16.53,97.61,81.39,15.68
47,Wyndham,1,US,1593576150,83,37.7,-77.61,78.01,2.19
48,Yellowknife,75,CA,1593575863,33,62.46,-114.35,77.0,5.82
49,Comodoro Rivadavia,75,AR,1593575929,93,-45.87,-67.5,41.0,8.43
50,Ferkessédougou,76,CI,1593576153,92,9.6,-5.2,71.71,5.86
51,Suşehri,60,TR,1593576154,72,40.16,38.09,60.84,3.36
52,Corner Brook,90,CA,1593576155,93,48.97,-57.95,60.8,4.7
53,Sisimiut,100,GL,1593576156,58,66.94,-53.67,49.8,10.98
54,Murray Bridge,33,AU,1593575965,50,-35.12,139.27,66.99,20.36
55,George Town,20,MY,1593575950,74,5.41,100.34,87.8,5.82
56,Teknāf,98,BD,1593576160,69,20.86,92.31,87.24,4.5
57,Port Hedland,92,AU,1593576161,25,-20.32,118.57,84.2,5.82
58,Sioux Lookout,40,CA,1593576083,88,50.1,-91.92,73.4,3.36
59,Bethel,75,US,1593576112,93,41.37,-73.41,66.2,2.26
60,Esil,100,KZ,1593576164,83,51.96,66.4,55.09,10.54
61,Butaritari,0,KI,1593576165,71,3.07,172.79,83.48,6.98
62,Mataura,99,NZ,1593576166,91,-46.19,168.86,41.76,3.62
63,Barrow,90,US,1593576167,93,71.29,-156.79,37.4,11.41
64,Taoudenni,0,ML,1593576168,11,22.68,-3.98,91.6,9.4
65,Puerto Ayora,79,EC,1593576170,90,-0.74,-90.35,71.01,5.01
66,Kyra,87,RU,1593576171,75,49.58,111.98,65.66,9.93
67,Avarua,30,CK,1593576172,78,-21.21,-159.78,77.0,19.46
68,Provideniya,90,RU,1593576173,87,64.38,-173.3,46.4,8.95
69,Aklavik,75,CA,1593576174,62,68.22,-135.01,59.0,10.29
70,Puerto Plata,40,DO,1593576046,88,19.79,-70.69,81.0,7.2
71,Dudinka,75,RU,1593576176,93,69.41,86.18,53.6,24.61
72,Mossamedes,0,AO,1593576177,74,-15.2,12.15,67.91,6.13
73,Hīt,0,IQ,1593576178,35,33.64,42.83,84.56,17.38
74,Florianópolis,0,BR,1593576033,59,-27.61,-48.5,66.0,23.04
75,San Cristobal,33,VE,1593576181,82,7.77,-72.22,65.35,2.44
76,Praia da Vitória,75,PT,1593576182,93,38.73,-27.07,64.4,7.23
77,Kiama,37,AU,1593576183,62,-34.68,150.87,71.01,7.0
78,Andenes,75,NO,1593576184,87,69.31,16.12,44.6,16.11
79,Tuktoyaktuk,90,CA,1593576136,87,69.45,-133.04,48.2,18.34
80,Alice Springs,0,AU,1593576187,21,-23.7,133.88,78.8,9.17
81,Kharhiāl,26,IN,1593576188,53,20.28,82.77,91.35,3.85
82,Te Anau,60,NZ,1593576142,77,-45.42,167.72,41.94,2.44
83,Aktau,0,KZ,1593576190,73,43.65,51.2,73.4,13.42
84,Kaitangata,99,NZ,1593576191,65,-46.28,169.85,46.0,8.01
85,Caranavi,10,BO,1593576192,91,-15.82,-67.55,61.66,1.54
86,Pergamino,78,AR,1593576194,91,-33.89,-60.57,44.01,3.0
87,Bluff,100,NZ,1593576147,76,-46.6,168.33,45.61,8.25
88,Tasiilaq,100,GL,1593576196,52,65.61,-37.64,44.6,12.75
89,Terre Haute,1,US,1593576107,88,39.47,-87.41,73.99,3.36
90,Port Alfred,0,ZA,1593576198,85,-33.59,26.89,51.01,1.01
91,Palora,2,EC,1593576199,96,-1.7,-77.93,65.01,2.13
92,Santa Cruz Cabrália,40,BR,1593576200,88,-16.28,-39.02,71.6,2.24
93,Los Llanos de Aridane,75,ES,1593576201,94,28.66,-17.92,68.0,16.11
94,Hermanus,0,ZA,1593576202,74,-34.42,19.23,55.99,1.01
95,Klaksvík,100,FO,1593576204,75,62.23,-6.59,44.6,8.05
96,Nago,75,JP,1593576205,89,26.59,127.98,84.2,16.11
97,Dalby,18,AU,1593576206,40,-27.18,151.27,68.0,8.05
98,Simao,100,CN,1593576193,73,22.79,100.97,78.21,2.71
99,Carutapera,0,BR,1593576208,92,-1.2,-46.02,73.94,2.82
100,Arkadak,84,RU,1593576209,79,51.93,43.5,62.17,9.31
101,Atambua,18,ID,1593576210,50,-9.11,124.89,82.29,1.61
102,Contamana,2,PE,1593576211,87,-7.33,-75.02,72.73,1.19
103,Norman Wells,75,CA,1593576213,82,65.28,-126.83,59.0,13.87
104,La Ronge,90,CA,1593576214,93,55.1,-105.28,57.2,11.41
105,Castro,88,BR,1593576215,92,-24.79,-50.01,58.37,12.46
106,Mar del Plata,90,AR,1593576171,70,-38.0,-57.56,48.2,20.8
107,Upernavik,39,GL,1593576217,79,72.79,-56.15,37.74,11.7
108,Sheridan,75,US,1593575985,81,44.83,-106.92,54.0,3.36
109,Severo-Kuril'sk,17,RU,1593576219,69,50.68,156.12,51.85,8.81
110,Rāvar,0,IR,1593576220,12,31.27,56.81,90.46,2.04
111,Palmer,90,US,1593576221,100,42.16,-72.33,66.2,3.29
112,Tarakan,3,ID,1593576211,79,3.3,117.63,81.23,3.15
113,Cape Town,0,ZA,1593576199,93,-33.93,18.42,46.99,4.7
114,Kaura Namoda,77,NG,1593576225,79,12.59,6.58,77.0,8.9
115,Longyearbyen,100,SJ,1593576226,42,78.22,15.64,46.4,11.41
116,Dingle,70,PH,1593576227,59,11.0,122.67,89.28,6.26
117,Safi,0,MA,1593576228,83,32.3,-9.24,68.11,13.24
118,Saskylakh,99,RU,1593576147,35,71.92,114.08,85.53,7.87
119,Berlevåg,90,NO,1593576230,93,70.86,29.09,42.8,17.22
120,Neiafu,75,TO,1593576231,83,-18.65,-173.98,78.8,13.51
121,Irmo,75,US,1593576000,74,34.09,-81.18,78.8,8.05
122,Djibouti,1,DJ,1593576234,24,11.5,42.5,95.0,3.36
123,Hokitika,3,NZ,1593576019,51,-42.72,170.97,48.92,2.93
124,Muros,81,ES,1593576236,92,42.78,-9.06,64.0,3.0
125,Teya,61,RU,1593576237,33,60.38,92.63,82.99,1.45
126,Zavallya,0,UA,1593576238,82,48.21,30.02,64.4,6.89
127,Rūdbār,0,AF,1593576212,13,30.15,62.6,89.2,8.21
128,Hong Kong,100,HK,1593576003,72,22.29,114.16,89.01,10.0
129,Bandarbeyla,81,SO,1593576241,58,9.49,50.81,84.29,32.46
130,Cayenne,100,GF,1593576182,100,4.93,-52.33,75.2,3.36
131,Asău,7,RO,1593576244,100,46.43,26.4,63.0,2.24
132,Hithadhoo,86,MV,1593576245,64,-0.6,73.08,83.93,2.15
133,Coyhaique,90,CL,1593576246,87,-45.58,-72.07,37.4,3.36
134,Inhambane,35,MZ,1593576247,78,-23.86,35.38,65.93,9.78
135,Portales,1,US,1593576248,14,34.19,-103.33,84.2,8.05
136,São Filipe,18,CV,1593576250,79,14.9,-24.5,73.13,2.37
137,Port Elizabeth,0,ZA,1593576251,93,-33.92,25.57,48.2,4.7
138,Newport,98,GB,1593576252,95,51.59,-3.0,60.01,1.99
139,Morant Bay,20,JM,1593576253,74,17.88,-76.41,82.4,5.82
140,Gari,1,RU,1593576254,53,59.43,62.35,56.57,5.61
141,Hilo,40,US,1593576255,54,19.73,-155.09,84.2,12.75
142,Geraldton,40,AU,1593576256,72,-28.77,114.6,64.4,16.11
143,Bathsheba,20,BB,1593576257,83,13.22,-59.52,80.6,13.87
144,Port Moresby,75,PG,1593576258,78,-9.44,147.18,82.4,10.29
145,São Raimundo das Mangabeiras,1,BR,1593576260,59,-7.02,-45.48,73.26,0.54
146,Mount Gambier,90,AU,1593576212,51,-37.83,140.77,60.8,19.46
147,Chimbote,44,PE,1593576112,88,-9.09,-78.58,60.62,7.27
148,São João da Barra,4,BR,1593576118,85,-21.64,-41.05,68.7,10.45
149,Chokurdakh,13,RU,1593576264,30,70.63,147.92,61.84,10.56
150,Qaanaaq,0,GL,1593576265,78,77.48,-69.36,37.02,1.92
151,Mahébourg,40,MU,1593576266,93,-20.41,57.7,62.6,6.93
152,Touros,75,BR,1593576179,100,-5.2,-35.46,73.4,4.7
153,Miracema do Tocantins,0,BR,1593576268,54,-9.56,-48.4,72.01,2.71
154,Airai,6,TL,1593576270,55,-8.93,125.41,72.0,4.5
155,Risālpur,20,PK,1593576271,41,34.06,71.99,93.2,4.7
156,Juneau,90,US,1593576239,62,58.3,-134.42,59.0,4.7
157,Half Moon Bay,90,US,1593576273,93,37.46,-122.43,63.0,5.82
158,Auki,21,SB,1593576270,73,-8.77,160.7,83.48,4.0
159,Tuatapere,99,NZ,1593576275,81,-46.13,167.68,44.56,3.83
160,Oskarshamn,44,SE,1593576276,86,57.26,16.45,55.99,8.99
161,Béboto,100,TD,1593576277,94,8.27,16.94,70.39,2.64
162,Labytnangi,0,RU,1593576278,49,66.66,66.42,52.9,7.34
163,Toguchin,100,RU,1593576280,68,55.24,84.39,73.08,10.96
164,San Policarpo,71,PH,1593576281,65,12.18,125.51,85.77,8.19
165,Opuwo,0,NA,1593576282,41,-18.06,13.84,50.05,7.76
166,Sondershausen,71,DE,1593576283,72,51.37,10.87,63.0,7.0
167,Port Blair,100,IN,1593576240,77,11.67,92.75,83.08,14.0
168,La Libertad,90,EC,1593576285,88,-2.23,-80.9,71.6,11.41
169,Tcholliré,96,CM,1593576286,93,8.4,14.17,68.88,1.3
170,Karasburg,0,NA,1593576287,43,-28.02,18.75,49.6,6.46
171,Tiksi,97,RU,1593576288,54,71.69,128.87,51.94,9.73
172,Yaan,47,NG,1593576290,96,7.38,8.57,70.75,5.97
173,Marsh Harbour,4,BS,1593576003,68,26.54,-77.06,83.64,9.08
174,Warmbad,0,NA,1593576292,40,-28.45,18.73,52.2,8.5
175,São Sebastião,100,BR,1593576293,65,-23.76,-45.41,73.17,3.51
176,New Norfolk,19,AU,1593576294,79,-42.78,147.06,55.0,1.99
177,Shubarshi,52,KZ,1593576295,46,48.59,57.19,64.94,11.16
178,Chui,100,UY,1593576296,93,-33.7,-53.46,57.07,23.94
179,Faya,70,SA,1593576158,46,18.39,42.45,69.8,7.02
180,Kuril'sk,100,RU,1593576298,92,45.23,147.88,54.43,7.92
181,Kalianget,7,ID,1593576300,69,-7.05,113.93,84.31,13.53
182,Itarema,0,BR,1593576301,86,-2.92,-39.92,74.7,9.06
183,Peto,12,MX,1593576302,96,20.13,-88.92,74.66,2.55
184,Puerto Escondido,100,MX,1593576303,73,15.85,-97.07,81.95,5.12
185,Ocós,98,GT,1593576304,78,14.51,-92.19,81.23,2.19
186,Bredasdorp,0,ZA,1593576141,93,-34.53,20.04,46.4,4.7
187,Ishigaki,75,JP,1593576306,75,24.34,124.16,89.6,19.46
188,Jaciara,100,BR,1593576308,58,-15.97,-54.97,72.18,2.93
189,Tiarei,20,PF,1593576309,54,-17.53,-149.33,80.6,10.29
190,Dovolnoye,100,RU,1593576310,68,54.5,79.67,72.86,7.74
191,Grand Baie,8,MU,1593576311,77,-20.02,57.58,70.0,3.0
192,Kasongo-Lunda,60,CD,1593576312,57,-6.47,16.82,64.92,1.41
193,Shekhupura,20,PK,1593576073,63,31.71,73.98,91.4,5.82
194,Alghero,0,IT,1593576315,88,40.56,8.32,70.0,3.36
195,Forsytheganj,25,BY,1593576316,87,52.63,29.73,60.73,6.96
196,Nālūt,0,LY,1593576317,35,30.33,10.85,76.55,9.89
197,Chinsali,61,ZM,1593576318,88,-10.54,32.08,56.7,8.7
198,Oktyabr'skiy,18,RU,1593576319,72,54.48,53.47,55.08,2.66
199,Vila Franca do Campo,75,PT,1593576320,88,37.72,-25.43,66.2,8.05
200,Zaozyornoye,1,UA,1593576321,73,45.16,33.28,75.96,0.56
201,Thompson,40,CA,1593576274,82,55.74,-97.86,62.6,10.29
202,Dubovka,45,RU,1593576324,37,49.06,44.83,71.6,11.18
203,Pangnirtung,27,CA,1593576158,62,66.15,-65.71,44.94,2.13
204,Haines Junction,21,CA,1593576326,41,60.75,-137.51,60.82,5.57
205,Iqaluit,20,CA,1593576110,80,63.75,-68.51,39.2,2.39
206,Ancud,90,CL,1593576328,93,-41.87,-73.82,50.0,14.99
207,Tailai,87,CN,1593576329,37,46.38,123.4,83.89,11.18
208,Margate,81,GB,1593576331,83,51.38,1.39,60.01,3.0
209,Mīzan Teferī,100,ET,1593576332,80,6.98,35.58,62.44,1.16
210,Codrington,0,AU,1593576333,58,-38.27,141.97,59.88,19.3
211,Songea,20,TZ,1593576334,87,-10.68,35.65,59.0,3.36
212,Lālmohan,88,BD,1593576335,67,22.34,90.74,87.98,6.11
213,Tocopilla,6,CL,1593576336,62,-22.09,-70.2,60.49,2.35
214,Mitsamiouli,34,KM,1593576337,72,-11.38,43.28,77.43,19.75
215,Sovetskiy,100,RU,1593576338,47,61.36,63.58,58.37,2.98
216,Departamento de Maldonado,90,UY,1593576339,93,-34.67,-54.92,53.01,23.04
217,Elko,1,US,1593576341,18,41.0,-115.5,71.6,5.82
218,Pisco,75,PE,1593576342,82,-13.7,-76.22,62.6,3.36
219,Poli,75,TZ,1593576343,87,-3.33,36.8,60.8,6.93
220,Broken Hill,0,AU,1593576186,23,-31.95,141.43,69.8,17.22
221,Sørland,66,NO,1593576164,78,67.67,12.69,45.64,19.01
222,Mogadishu,93,SO,1593576346,77,2.04,45.34,78.96,19.6
223,Konya Province,0,TR,1593576347,39,38.17,32.5,64.4,6.93
224,Faanui,29,PF,1593576348,75,-16.48,-151.75,77.88,23.51
225,Kruisfontein,0,ZA,1593576350,51,-34.0,24.73,54.48,11.03
226,Ilulissat,100,GL,1593576351,75,69.22,-51.1,42.8,1.12
227,East London,0,ZA,1593576182,81,-33.02,27.91,53.6,4.7
228,Chingirlau,0,KZ,1593576353,66,51.09,54.08,58.6,10.87
229,Ebeltoft,15,DK,1593576354,87,56.19,10.68,57.2,12.75
230,Jalu,0,LY,1593576355,40,29.03,21.55,73.0,6.02
231,Katsuura,75,JP,1593576356,94,35.13,140.3,75.99,20.8
232,Esperance,90,AU,1593576357,81,-33.87,121.9,53.6,18.34
233,Guerrero Negro,0,MX,1593576153,78,27.98,-114.06,65.1,14.27
234,Rocha,100,UY,1593576272,88,-34.48,-54.33,50.9,32.73
235,Mayo,40,US,1593576361,83,38.89,-76.51,75.2,4.7
236,Acala,75,MX,1593576362,69,16.57,-92.8,78.8,5.82
237,Kalemie,60,CD,1593576363,69,-5.95,29.19,73.24,11.54
238,Port Hardy,75,CA,1593576183,76,50.7,-127.42,57.2,11.41
239,Cherskiy,72,RU,1593576365,52,68.75,161.3,55.85,19.26
240,Narsaq,98,GL,1593576081,81,60.92,-46.05,42.8,9.17
241,Myitkyina,95,MM,1593576368,89,25.38,97.4,81.81,1.97
242,Nyalikungu,100,TZ,1593576369,77,-3.18,33.78,60.55,8.79
243,Chivay,0,PE,1593576370,50,-15.64,-71.6,40.35,0.4
244,Kimbe,21,PG,1593576371,74,-5.55,150.14,84.22,5.23
245,Kirkenes,90,NO,1593576373,100,69.73,30.05,48.2,16.11
246,Turukhansk,80,RU,1593576374,69,65.82,87.98,59.2,14.97
247,Sur,68,OM,1593576375,71,22.57,59.53,85.28,10.74
248,Kenai,1,US,1593576367,51,60.55,-151.26,64.4,10.29
249,Talnakh,75,RU,1593576377,93,69.49,88.4,53.6,24.61
250,Polyarny,90,RU,1593576378,93,69.2,33.45,51.8,11.18
251,Camacha,40,PT,1593576169,88,33.08,-16.33,68.0,10.29
252,Ribeira Grande,71,PT,1593576117,92,38.52,-28.7,65.97,9.8
253,Nioro,96,GM,1593576255,77,13.35,-15.75,78.78,5.14
254,Vao,7,NC,1593576152,66,-22.67,167.48,67.86,17.96
255,Sosnovo-Ozerskoye,82,RU,1593576384,43,52.52,111.54,74.93,5.64
256,Filingué,54,NE,1593576385,51,14.35,3.32,86.72,8.43
257,Micheweni,7,TZ,1593576386,80,-4.97,39.83,76.48,15.48
258,Cabo San Lucas,0,MX,1593576387,88,22.89,-109.91,79.0,1.01
259,Fortuna,40,US,1593576223,87,40.6,-124.16,55.99,12.75
260,Clyde River,90,CA,1593576184,93,70.47,-68.59,35.6,2.24
261,Meulaboh,68,ID,1593576391,66,4.14,96.13,85.53,1.14
262,Włoszczowa,42,PL,1593576392,89,50.85,19.97,60.01,1.99
263,Korla,58,CN,1593576393,62,41.76,86.15,75.99,13.38
264,Boyolangu,61,ID,1593576394,75,-8.12,111.89,80.73,10.94
265,Nur-Sultan,75,KZ,1593576395,56,51.18,71.45,73.4,6.71
266,Wamba,79,NG,1593576396,95,8.93,8.6,72.07,2.37
267,Vanimo,100,PG,1593576397,65,-2.67,141.3,85.01,4.74
268,Talara,0,PE,1593576253,81,-4.58,-81.27,65.77,15.26
269,Nome,90,US,1593576400,87,64.5,-165.41,48.99,11.41
270,Ilesha,77,NG,1593576401,99,7.14,5.26,70.59,1.79
271,Umm Bāb,1,QA,1593576402,48,25.21,50.81,86.0,1.86
272,Nemuro,75,JP,1593576403,78,43.32,145.57,71.6,6.93
273,Kumul,0,CN,1593576404,17,42.8,93.45,84.42,4.99
274,Troitsko-Pechorsk,79,RU,1593576405,54,62.71,56.2,55.96,4.61
275,French Harbor,0,HN,1593576406,83,16.35,-86.43,82.06,15.41
276,Harlingen,75,US,1593576408,88,26.19,-97.7,84.0,13.87
277,Zhigansk,0,RU,1593576409,28,66.77,123.37,82.42,5.79
278,Nikolskoye,40,RU,1593576410,82,59.7,30.79,62.01,15.66
279,Guánica,3,PR,1593576411,77,17.97,-66.91,80.01,7.83
280,Yevlax,75,AZ,1593576412,64,40.61,47.15,71.6,5.82
281,Bengkulu,42,ID,1593576413,57,-3.8,102.27,85.41,3.36
