,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
282,Leningradskiy,95,RU,1593576414,95,69.38,178.42,36.1,5.53
283,Måløy,14,NO,1593576416,62,61.94,5.11,51.8,18.34
284,Kijabe,31,KE,1593576417,91,-0.93,36.58,51.01,2.37
285,Terrace Bay,87,CA,1593576418,75,48.78,-87.1,57.58,5.32
286,Hualmay,70,PE,1593576419,84,-11.1,-77.61,59.68,7.87
287,Clevelândia,70,BR,1593576421,97,-26.4,-52.47,46.11,8.77
288,Shimanovsk,23,RU,1593576422,31,52.0,127.7,88.72,10.04
289,Beloha,20,MG,1593576424,80,-25.17,45.05,60.76,6.69
290,Malibu,0,US,1593576425,94,34.01,-118.81,61.0,1.99
291,Caravelas,40,BR,1593576426,96,-17.71,-39.25,68.16,3.78
292,Nanortalik,84,GL,1593576427,87,60.14,-45.24,40.15,6.91
293,Dali,100,CN,1593576429,78,25.7,100.18,69.37,1.7
294,Boa Vista,75,BR,1593576430,83,2.82,-60.67,78.8,4.23
295,Conceição do Araguaia,0,BR,1593576244,83,-8.26,-49.26,71.6,4.7
296,Makakilo City,1,US,1593576432,48,21.35,-158.09,87.8,6.93
297,Cabedelo,10,BR,1593576433,84,-6.98,-34.83,75.49,8.14
298,Kodinsk,15,RU,1593576434,35,58.69,99.18,83.55,5.88
299,Novikovo,15,RU,1593576435,87,51.15,37.89,66.7,5.19
300,Clifton,1,US,1593576437,83,40.86,-74.16,71.6,4.7
301,Marabu,40,MY,1593576246,74,4.41,114.01,87.8,5.82
302,Sakaiminato,75,JP,1593576439,73,35.55,133.23,73.4,20.8
303,Kaoma,0,ZM,1593576440,80,-14.78,24.8,51.17,6.64
304,Winnemucca,1,US,1593576441,13,40.97,-117.74,75.2,6.93
305,Mercedes,96,AR,1593576442,94,-34.65,-59.43,46.99,3.0
306,Trzcianka,82,PL,1593576443,83,53.04,16.46,58.23,6.67
307,Malaryta,15,BY,1593576444,87,51.79,24.07,57.2,4.47
308,Port Lincoln,0,AU,1593576446,66,-34.73,135.87,61.9,29.82
309,Kelvington,100,CA,1593576447,97,52.17,-103.53,64.99,15.84
310,Atbasar,100,KZ,1593576448,73,51.8,68.33,61.86,8.93
311,Aykhal,97,RU,1593576449,50,66.0,111.5,75.2,6.71
312,Zhangye,0,CN,1593576450,15,38.93,100.45,83.21,4.14
313,Atar,0,MR,1593576451,41,20.52,-13.05,87.91,7.47
314,Sémbé,81,CG,1593576452,95,1.65,14.58,68.0,0.81
315,Urengoy,97,RU,1593576453,89,65.97,78.37,49.93,5.28
316,Neryungri,1,RU,1593576455,32,56.67,124.65,81.07,11.97
317,Rome,75,US,1593576348,93,43.21,-75.46,64.4,2.66
318,Merrill,1,US,1593576457,83,45.18,-89.68,78.8,4.7
319,Ponta do Sol,40,PT,1593576458,73,32.67,-17.1,69.8,10.29
320,Rehoboth,0,NA,1593576459,67,-23.32,17.08,40.08,1.61
321,Skjervøy,100,NO,1593576460,83,70.03,20.97,45.57,8.28
322,Carnarvon,0,AU,1593576461,64,-24.87,113.63,69.8,17.22
323,Praia,75,CV,1593576463,65,14.92,-23.51,77.0,5.82
324,Pringsewu,48,ID,1593576464,58,-5.36,104.97,86.31,3.24
325,Adrar,0,MR,1593576465,34,20.5,-10.07,90.34,10.45
326,Pundaguitan,94,PH,1593576466,70,6.37,126.17,83.97,4.65
327,Pevek,100,RU,1593576467,85,69.7,170.31,38.66,9.93
328,Kosum Phisai,40,TH,1593576468,79,16.25,103.07,84.2,8.05
329,Souillac,40,MU,1593576469,93,-20.52,57.52,62.6,6.93
330,Stanari,0,BA,1593576470,88,44.75,17.83,62.6,2.24
331,Buchanan,75,LR,1593576472,94,5.88,-10.05,75.2,6.51
332,Sechura,0,PE,1593576473,81,-5.56,-80.82,64.49,12.01
333,Edd,58,ER,1593576474,36,13.93,41.69,92.34,5.59
334,Egvekinot,100,RU,1593576475,93,66.32,-179.17,38.64,8.37
335,Agua Dulce,95,MX,1593576476,85,18.13,-94.13,81.46,1.83
336,Cidreira,44,BR,1593576477,75,-30.18,-50.21,56.52,27.34
337,Maceo,100,CO,1593576478,99,6.55,-74.79,66.33,3.49
338,Zhicheng,99,CN,1593576479,83,30.3,111.5,82.62,1.99
339,Sakakah,0,SA,1593576480,41,29.97,40.21,77.0,10.29
340,Bilibino,100,RU,1593576482,85,68.05,166.44,41.95,6.8
341,College,75,US,1593576483,71,64.86,-147.8,53.6,3.36
342,Santa Rosa,75,PH,1593576484,59,14.31,121.11,91.99,0.54
343,Lebedyn,4,UA,1593576485,91,50.59,34.48,63.43,6.85
344,Kozhva,100,RU,1593576486,63,65.11,57.05,53.31,8.43
345,Mandera,84,KE,1593576487,65,3.94,41.87,76.89,16.91
346,Marsaxlokk,0,MT,1593576489,77,35.84,14.54,73.99,4.7
347,Vangaindrano,5,MG,1593576490,84,-23.35,47.6,60.8,4.76
348,Rudnogorsk,31,RU,1593576491,31,57.26,103.75,87.53,4.68
349,Batemans Bay,42,AU,1593576209,41,-35.72,150.18,71.01,3.0
350,Pătulele,0,RO,1593576494,73,44.35,22.77,62.74,2.75
351,Srednekolymsk,2,RU,1593576495,36,67.45,153.68,62.56,12.19
352,Vestmannaeyjar,99,IS,1593576496,87,63.44,-20.27,49.21,12.77
353,Salalah,90,OM,1593576497,89,17.02,54.09,84.2,5.82
354,Deputatsky,100,RU,1593576498,36,69.3,139.9,62.73,10.09
355,Ponta Delgada,75,PT,1593576499,88,37.73,-25.67,66.2,8.05
356,Mount Isa,14,AU,1593576500,28,-20.73,139.5,82.4,9.17
357,Isangel,40,VU,1593576502,60,-19.55,169.27,75.2,9.17
358,Sitka,75,US,1593576503,76,57.05,-135.33,55.4,13.87
359,Biltine,98,TD,1593576504,56,14.53,20.92,82.02,8.48
360,Hobyo,70,SO,1593576365,68,5.35,48.53,79.88,27.72
361,Nieves,89,PH,1593576506,58,15.33,120.95,90.43,4.94
362,São Gabriel da Cachoeira,15,BR,1593576507,95,-0.13,-67.09,72.54,1.12
363,Callaguip,40,PH,1593576509,62,18.07,120.49,89.6,16.11
364,Arlit,0,NE,1593576510,13,18.74,7.39,86.05,6.33
365,Doha,0,QA,1593576241,26,25.29,51.53,96.8,2.51
366,Moctezuma,67,MX,1593576512,35,29.8,-109.67,84.58,7.76
367,Schneverdingen,100,DE,1593576513,99,53.12,9.8,55.99,6.87
368,Elizabeth City,90,US,1593576514,74,36.29,-76.25,80.6,6.93
369,Sangar,73,RU,1593576515,37,63.92,127.47,80.76,4.61
370,Joshīmath,50,IN,1593576516,47,30.57,79.57,73.99,5.19
371,Whitianga,0,NZ,1593576517,70,-36.83,175.7,53.01,1.99
372,Galveston,90,US,1593576519,89,29.37,-94.97,84.2,14.99
373,Crixás,29,BR,1593576520,62,-14.55,-49.97,67.15,1.97
374,Oistins,20,BB,1593576521,83,13.07,-59.53,80.6,13.87
375,Bambous Virieux,40,MU,1593576522,93,-20.34,57.76,70.0,6.93
376,Valdivia,90,CL,1593576523,100,-39.81,-73.25,50.0,6.93
377,Manono,66,CD,1593576524,45,-7.3,27.42,73.42,5.88
378,Aktobe,65,KZ,1593576525,58,50.28,57.21,57.2,8.95
379,Ljungby,60,SE,1593576526,93,56.83,13.94,55.0,13.87
380,Province of Mantua,31,IT,1593576528,83,45.17,10.78,73.4,3.36
381,Mithi,68,PK,1593576529,48,24.73,69.8,94.8,7.65
382,Praia,75,CV,1593576463,65,14.92,-23.51,77.0,5.82
383,Dikson,9,RU,1593576531,99,73.51,80.55,40.42,14.14
384,Khakhea,0,BW,1593576532,73,-24.69,23.49,46.06,11.21
385,Luanda,75,AO,1593576243,83,-8.84,13.23,73.4,3.36
386,Gijón,90,ES,1593576320,82,43.54,-5.66,64.99,8.05
387,Muncar,62,ID,1593576535,79,-8.43,114.33,80.11,7.99
388,Port Keats,83,AU,1593576536,27,-14.25,129.55,88.16,4.32
389,Jishou,100,CN,1593576538,86,28.32,109.72,79.86,3.65
390,Pacific Grove,90,US,1593576539,87,36.62,-121.92,59.0,9.17
391,St. George's,20,GD,1593576540,88,12.06,-61.75,80.6,16.11
392,Santa Isabel Rio Negro,8,BR,1593576541,97,-0.41,-65.02,72.95,1.97
393,Richards Bay,49,ZA,1593576542,81,-28.78,32.04,59.59,3.78
394,Lorengau,65,PG,1593576543,67,-2.02,147.27,85.48,6.71
395,Pochutla,100,MX,1593576545,92,15.74,-96.47,75.99,3.69
396,Nichinan,20,JP,1593576545,54,31.6,131.37,84.2,17.22
397,Vila Velha,40,BR,1593576547,88,-20.33,-40.29,70.0,4.7
398,Launceston,40,AU,1593576548,66,-41.45,147.17,55.99,16.11
399,Poum,51,NC,1593576550,65,-20.23,164.02,70.65,15.79
400,Kindersley,75,CA,1593576551,100,51.47,-109.17,62.6,8.05
401,Menongue,0,AO,1593576552,55,-14.66,17.69,46.67,2.93
402,Balikpapan,38,ID,1593576345,68,-1.27,116.83,84.31,5.99
403,Kolokani,62,ML,1593576554,67,13.57,-8.03,80.19,11.1
404,Niquero,46,CU,1593576555,79,20.04,-77.58,79.3,6.69
405,Nichlaul,1,IN,1593576557,54,27.32,83.73,92.21,7.05
406,Fort Nelson,75,CA,1593576558,56,58.81,-122.7,68.0,6.93
407,Węgrów,23,PL,1593576559,72,52.4,22.02,63.0,10.45
408,Sobolevo,21,RU,1593576560,91,54.43,31.9,59.07,7.72
409,Sinjār,0,IQ,1593576561,36,36.32,41.88,79.23,11.25
410,Ballater,94,GB,1593576562,90,57.05,-3.04,48.99,5.01
411,Ola,97,RU,1593576563,53,59.58,151.28,57.52,9.42
412,Sierra Vista,1,US,1593576564,26,31.55,-110.3,80.6,11.41
413,Kokstad,0,ZA,1593576565,63,-30.55,29.42,42.42,4.68
414,Ciudad Bolivar,80,VE,1593576567,80,8.12,-63.55,77.43,10.04
415,Garchitorena,93,PH,1593576568,69,13.88,123.69,86.76,7.9
416,Padang,20,ID,1593576569,57,-0.95,100.35,85.96,4.47
417,Xalapa,97,MX,1593576466,94,19.53,-96.92,65.61,2.59
418,Aktash,98,RU,1593576571,72,50.3,87.73,53.94,4.9
419,Dunedin,100,NZ,1593576572,84,-45.87,170.5,43.0,1.99
420,Beni,100,CD,1593576573,100,0.5,29.47,60.62,0.85
421,Camaná,74,PE,1593576574,78,-16.62,-72.71,60.93,8.46
422,Bonito,76,BR,1593576575,75,-21.12,-56.48,61.3,13.42
423,São José da Coroa Grande,7,BR,1593576577,84,-8.9,-35.15,75.06,7.99
424,Ndjolé,99,GA,1593576578,90,-0.18,10.76,72.07,2.71
425,Codajás,75,BR,1593576579,91,-3.84,-62.06,73.22,1.25
426,Kolomak,53,UA,1593576580,90,49.84,35.3,65.03,10.47
427,Lagoa,94,PT,1593576581,86,39.05,-27.98,63.93,10.63
428,Nogliki,100,RU,1593576582,79,51.83,143.17,49.93,3.2
429,Rawson,100,AR,1593576583,87,-43.3,-65.1,44.29,17.81
430,Garoowe,99,SO,1593576285,58,8.41,48.48,79.84,28.43
431,Lebu,100,CL,1593576586,93,-37.62,-73.65,50.97,22.08
432,Lappeenranta,75,FI,1593576317,93,61.06,28.19,57.2,6.93
433,Mandalgovi,0,MN,1593576588,38,45.76,106.27,70.77,10.63
434,Kostanay,75,KZ,1593576589,82,53.17,63.58,55.4,6.71
435,Bodinayakkanur,100,IN,1593576590,59,10.02,77.35,83.75,5.75
436,São Sepé,90,BR,1593576591,81,-30.16,-53.57,53.6,18.34
437,Amga,0,RU,1593576592,24,60.9,131.96,80.35,7.23
438,Davila,40,PH,1593576593,62,18.47,120.58,89.6,16.11
439,Torbay,90,CA,1593576594,100,47.67,-52.73,66.99,17.22
440,Kaili,76,ID,1593576596,93,-3.46,120.21,73.81,3.11
441,Paita,0,PE,1593576597,84,-5.09,-81.11,63.91,10.87
442,Roebourne,74,AU,1593576598,27,-20.78,117.13,84.0,10.13
443,Ubari,0,LY,1593576599,24,26.59,12.78,78.04,5.14
444,Sunndalsøra,97,NO,1593576600,66,62.68,8.55,48.2,5.82
445,Carlisle,4,US,1593576548,83,40.2,-77.19,70.0,3.67
446,Wewak,100,PG,1593576602,64,-3.55,143.63,84.16,4.99
447,Lixouri,0,GR,1593576604,68,38.2,20.43,68.0,4.72
448,Palencia,0,ES,1593576605,88,42.42,-4.5,66.0,5.75
449,Jijiga,98,ET,1593576606,78,9.35,42.8,63.48,21.0
450,Sabla,98,NG,1593576607,71,12.75,4.71,80.55,11.54
451,Kavaratti,90,IN,1593576608,94,10.57,72.64,77.0,4.7
452,Kropotkin,0,RU,1593576610,82,45.44,40.58,71.65,4.7
453,Aramecina,0,HN,1593576611,77,13.74,-87.71,72.99,5.75
454,La Cruz,71,MX,1593576612,86,23.92,-106.9,82.0,4.05
455,Itoman,75,JP,1593576613,89,26.12,127.67,84.2,12.75
456,Verkhnyaya Inta,100,RU,1593576614,57,65.98,60.31,53.98,10.38
457,Nouadhibou,0,MR,1593576616,83,20.93,-17.03,69.8,12.75
458,Celestún,0,MX,1593576617,80,20.87,-90.4,81.86,14.56
459,Cassilândia,78,BR,1593576618,64,-19.11,-51.73,67.98,5.12
460,Hofn,56,IS,1593576619,78,64.25,-15.21,43.57,2.64
461,Skellefteå,100,SE,1593576620,81,64.75,20.95,54.0,6.93
462,Port-Gentil,10,GA,1593576621,80,-0.72,8.78,72.95,4.54
463,Cherdyn',5,RU,1593576622,51,60.4,56.48,57.04,1.01
464,Busca,31,IT,1593576624,84,44.52,7.47,69.01,1.01
465,Sola,75,VU,1593576625,61,-13.88,167.55,77.0,6.93
466,Samarai,95,PG,1593576626,84,-10.62,150.67,78.35,18.37
467,Quatre Cocos,40,MU,1593576627,93,-20.21,57.76,70.0,6.93
468,Maniitsoq,100,GL,1593576628,61,65.42,-52.9,50.02,10.49
469,Huambo,3,AO,1593576629,57,-12.78,15.74,45.19,2.39
470,Storforshei,40,NO,1593576630,70,66.4,14.52,46.4,16.11
471,Yemel'yanovo,70,RU,1593576631,68,56.17,92.68,69.8,6.71
472,Bonthe,96,SL,1593576633,87,7.53,-12.51,77.58,6.67
473,Broome,75,US,1593576623,100,42.25,-75.83,64.0,6.93
474,Bokhan,44,RU,1593576635,42,53.15,103.77,84.96,2.15
475,Mayor Pablo Lagerenza,100,PY,1593576636,45,-19.93,-60.77,69.06,12.57
476,Poconé,100,BR,1593576637,53,-16.26,-56.62,76.03,2.51
477,Kīhei,20,US,1593576638,48,20.79,-156.47,87.8,17.22
478,Buba,78,GW,1593576639,92,11.58,-15.0,76.53,2.28
479,Kisarazu,75,JP,1593576641,100,35.37,139.92,75.2,29.97
480,Aripuanã,57,BR,1593576642,72,-9.17,-60.63,73.44,0.34
481,Nieuw Amsterdam,64,SR,1593576643,95,5.88,-55.08,77.0,6.91
482,Mumford,100,GH,1593576644,83,5.26,-0.76,75.69,8.12
483,Normandin,5,CA,1593576645,82,48.83,-72.53,66.2,2.24
484,Puertollano,0,ES,1593576646,52,38.69,-4.11,73.99,4.0
485,Split,0,HR,1593576548,64,43.51,16.44,73.4,2.24
486,Lüderitz,0,NA,1593576649,24,-26.65,15.16,59.0,6.93
487,Crotone,0,IT,1593576650,62,39.09,17.12,76.87,2.77
488,Ospitaletto,18,IT,1593576651,93,45.13,10.6,73.0,3.42
489,Ugoofaaru,90,MV,1593576652,77,5.67,73.0,83.34,9.57
490,Chara,49,RU,1593576653,33,56.91,118.26,79.52,5.57
491,Palma Gil,40,PH,1593576654,70,7.64,125.63,86.0,3.36
492,Bicester,84,GB,1593576645,94,51.9,-1.15,57.99,3.0
493,Singapore,75,SG,1593576624,70,1.29,103.85,86.0,9.17
494,Yatou,0,CN,1593576658,50,37.15,122.38,82.18,8.43
495,Buala,62,SB,1593576659,75,-8.14,159.59,83.05,6.4
496,Elk City,1,US,1593576660,55,35.41,-99.4,86.0,12.75
497,Barra do Garças,99,BR,1593576595,64,-15.89,-52.26,68.25,1.34
498,Maracaçumé,0,BR,1593576662,97,-2.04,-45.96,71.08,1.03
499,Mindelo,40,CV,1593576663,73,16.89,-24.98,75.2,13.87
500,Thinadhoo,61,MV,1593576664,63,0.53,72.93,84.0,2.86
501,West Bay,17,KY,1593576666,79,19.37,-81.42,82.0,1.99
502,Yulara,81,AU,1593576667,17,-25.24,130.99,75.2,5.82
503,Placerville,1,US,1593576447,25,38.73,-120.8,79.0,3.36
504,Neuquén,75,AR,1593576555,87,-38.95,-68.06,42.8,3.36
505,Parkes,1,AU,1593576670,55,-33.13,148.18,64.0,5.01
506,Lata,100,PT,1593576672,92,40.16,-8.33,62.01,4.0
507,Banjar,75,ID,1593576673,74,-8.19,114.97,84.2,17.22
508,Evensk,0,RU,1593576674,32,61.95,159.23,60.71,4.54
509,Lieksa,80,FI,1593576675,88,63.32,30.02,55.2,17.65
510,Ouésso,71,CG,1593576676,96,1.61,16.05,68.54,1.97
511,Nizwá,2,OM,1593576677,40,22.93,57.53,91.06,1.79
512,Canto do Buriti,0,BR,1593576678,76,-8.11,-42.94,69.98,2.46
513,Tyret’ Pervaya,45,RU,1593576679,46,53.67,102.31,81.84,3.89
514,Yangi Marg`ilon,21,UZ,1593576680,23,40.43,71.72,84.2,4.7
515,Şipote,71,RO,1593576682,82,47.47,27.22,68.0,3.36
516,Mweka,47,CD,1593576683,89,-4.85,21.57,66.58,2.39
517,Moranbah,11,AU,1593576684,47,-22.0,148.05,74.52,16.17
518,Mon,100,IN,1593576685,93,26.75,95.1,74.48,2.57
519,Henderson,1,US,1593576600,8,36.04,-114.98,91.4,3.36
520,Durazno,100,UY,1593576687,91,-33.41,-56.5,48.92,22.12
521,Port-Cartier,20,CA,1593576688,93,50.03,-66.87,53.6,2.24
522,Aksu,57,CN,1593576689,14,41.12,80.26,83.73,2.04
523,Aswān,0,EG,1593576691,18,24.09,32.91,80.98,7.45
524,Yichang,100,CN,1593576692,57,30.71,111.28,90.0,3.0
525,Itamaraju,22,BR,1593576693,96,-17.04,-39.53,66.63,2.24
526,Anadyr,90,RU,1593576694,100,64.75,177.48,44.6,4.21
527,Altay,3,CN,1593576695,48,47.87,88.12,66.07,5.75
528,Challapata,0,BO,1593576696,65,-18.9,-66.77,33.48,1.66
529,Manaure,16,CO,1593576697,74,11.78,-72.44,80.91,13.94
530,Saint-Pierre,0,RE,1593576698,48,-21.34,55.48,66.2,9.17
531,Mnogovershinnyy,100,RU,1593576700,93,53.94,139.92,47.7,8.14
532,Coolum Beach,51,AU,1593576701,64,-26.53,153.1,71.01,1.99
533,Nabire,92,ID,1593576702,76,-3.37,135.48,83.01,1.95
534,Storslett,75,NO,1593576703,87,69.77,21.02,42.8,4.7
535,Werda,0,BW,1593576704,60,-25.27,23.28,46.35,8.57
536,Arrondissement de Saint-Denis,28,FR,1593576705,77,48.92,2.33,68.0,12.75
537,Tall Kayf,20,TR,1593576706,36,37.08,41.07,80.6,17.22
538,Saint Anthony,40,US,1593576708,74,45.02,-93.22,81.0,6.93
539,Vágur,100,FO,1593576709,74,61.47,-6.81,47.39,17.67
540,Villiers,0,ZA,1593576710,94,-27.03,28.6,37.56,1.92
541,Brae,94,GB,1593576711,81,60.4,-1.35,48.2,10.29
542,Mokhsogollokh,4,RU,1593576712,26,61.47,128.92,84.72,7.07
543,Kaeo,53,NZ,1593576713,11,-35.1,173.78,57.0,7.0
544,Kampot,40,KH,1593576714,66,10.62,104.18,87.8,10.29
545,Esna,0,EG,1593576715,31,25.29,32.55,78.8,2.24
546,Maridi,89,SS,1593576717,96,4.92,29.47,65.41,3.96
547,Tulsīpur,2,NP,1593576718,59,28.13,82.3,85.32,5.06
548,Pathein,100,MM,1593576719,75,16.78,94.73,85.08,11.25
549,Pidhorodne,40,UA,1593576720,88,48.58,35.11,68.0,11.18
550,Kenitra,40,MA,1593576721,93,34.26,-6.58,64.4,5.82
551,Taloqan,0,AF,1593576664,30,36.74,69.53,84.4,2.95
552,Tshela,100,CD,1593576723,92,-4.98,12.93,66.49,0.4
553,Yarmouth,90,US,1593576725,94,41.71,-70.23,68.0,1.21
554,Akureyri,19,IS,1593576726,67,65.68,-18.09,33.8,2.24
555,Plettenberg Bay,0,ZA,1593576727,48,-34.05,23.37,60.13,6.78
556,San Patricio,94,MX,1593576728,80,19.22,-104.7,80.2,6.6
557,Mayumba,86,GA,1593576729,88,-3.43,10.66,69.73,1.95
558,Puri,40,IN,1593576731,79,19.8,85.85,89.6,6.93
559,Nānākuli,1,US,1593576488,48,21.39,-158.15,87.8,6.93
560,Zhezkazgan,90,KZ,1593576733,43,47.8,67.71,73.4,13.42
561,Grants,1,US,1593576734,16,35.15,-107.85,64.4,8.05
562,Morondava,0,MG,1593576735,62,-20.28,44.28,67.14,12.77
563,Marsá Maţrūḩ,0,EG,1593576736,68,31.35,27.25,69.8,9.17
564,Diu,46,IN,1593576738,72,20.71,70.98,86.27,6.91
565,Kirakira,35,SB,1593576739,77,-10.45,161.92,81.97,11.48
566,Tighina,0,MD,1593576740,77,46.83,29.47,68.0,2.24
